rule_id,remediation_text,terraform_snippet,azure_cli_command,portal_steps,estimated_effort_hours,risk_if_not_fixed
cis_1_1,Enable MFA for all users via Security Defaults or Conditional Access policy,"# Security Defaults shortcut\nresource ""azuread_directory_setting"" ""defaults"" {\n  display_name = ""Security Defaults""\n  template_id  = ""62375ab9-6b52-47ed-826b-58e47e0e304b""\n}","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/identitySecurityDefaultsEnforcementPolicy"" --body @enable-defaults.json",Entra ID > Properties > Manage Security defaults > Enabled,2,Account takeover via phishing or credential replay is trivially achievable.
cis_1_2,Enforce MFA on every account holding a privileged directory role,"resource ""azuread_conditional_access_policy"" ""admin_mfa"" {\n  display_name = ""Require MFA for admins""\n  state        = ""enabled""\n  conditions { users { included_roles = [""62e90394-69f5-4237-9190-012177145e10""] } applications { included_applications = [""All""] } }\n  grant_controls { operator = ""OR"" built_in_controls = [""mfa""] }\n}","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @admin-mfa.json",Entra ID > Security > Conditional Access > New policy > Grant > Require MFA,3,Compromise of any admin leads to tenant-wide impact.
cis_1_3,Configure recurring access reviews for all guest users,"resource ""azuread_access_review_definition"" ""guests"" { display_name = ""Guest Review"" descriptionForAdmins = ""Quarterly guest review"" scope { query = ""/groups/{guest-group-id}/transitiveMembers"" queryType = ""MicrosoftGraph"" } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions"" --body @review.json",Entra ID > Identity Governance > Access reviews > New access review,2,Stale guest accounts accumulate and expand the attack surface.
cis_1_4,Remove custom RBAC roles that grant owner-equivalent permissions,"# No create; the fix is to remove. Use:\n# terraform state rm azurerm_role_definition.custom_owner","az role definition delete --name ""<custom-owner-role-name>""",Subscriptions > IAM > Roles > Custom > Delete,2,Custom owner roles bypass PIM and audit paths applied to built-in Owner.
cis_1_5,Apply Conditional Access requiring MFA to the subscription owner group,"resource ""azuread_conditional_access_policy"" ""owners_mfa"" { display_name = ""Owners MFA"" state = ""enabled"" conditions { users { included_groups = [var.owners_group_id] } applications { included_applications = [""797f4846-ba00-4fd7-ba43-dac1f8f63013""] } } grant_controls { operator = ""OR"" built_in_controls = [""mfa""] } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @owners-mfa.json",Entra ID > Security > Conditional Access > New > Users: Owners group > Grant MFA,3,Owner compromise leads to complete loss of the subscription.
cis_1_6,Restrict guest invitation capability to admin roles,"resource ""azuread_directory_setting"" ""b2b"" { display_name = ""Group.Unified"" values { name = ""AllowInvitesFrom"" value = ""adminsAndGuestInviters"" } }","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/authorizationPolicy"" --body @allow-invites.json",Entra ID > External Identities > External collaboration settings,1,Unvetted external accounts can be invited into the tenant.
cis_1_7,Delete expired service principal credentials and rotate via pipeline,"# Remediation is deletion, not creation\n# null_resource with local-exec calling az ad sp credential delete","az ad sp credential delete --id <sp-id> --key-id <cred-key-id>",Entra ID > App registrations > Select app > Certificates & secrets > Delete expired,1,Expired creds indicate rotation failure and may leak in source control.
cis_1_8,Block legacy authentication via Conditional Access policy,"resource ""azuread_conditional_access_policy"" ""block_legacy"" { display_name = ""Block Legacy Auth"" state = ""enabled"" conditions { client_app_types = [""exchangeActiveSync"", ""other""] users { included_users = [""All""] } applications { included_applications = [""All""] } } grant_controls { operator = ""OR"" built_in_controls = [""block""] } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @block-legacy.json",Entra ID > Conditional Access > New > Client apps: Other + Exchange ActiveSync > Block,3,Legacy protocols bypass MFA and are the top vector for password spray.
cis_1_9,Enable end-user notification on password reset events,"# Graph: authenticationMethodsPolicy\n# Terraform support limited; use null_resource","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/authenticationMethodsPolicy"" --body @auth-methods.json",Entra ID > Password reset > Notifications > Notify users on password resets: Yes,1,Users are unaware of illicit password reset attempts.
cis_1_10,Reduce subscription owner count to 3 or fewer; prefer PIM eligible,"# removal operation\n# use azurerm_role_assignment destroy","az role assignment delete --assignee <user> --role Owner --scope /subscriptions/<sub>",Subscriptions > IAM > Owners > Remove,2,Excess owners increase blast radius of credential compromise.
cis_1_11,Remove all role assignments from accounts that are disabled,"# removal operation","for id in $(az role assignment list --query ""[?principalType=='User'].id"" -o tsv); do az role assignment delete --ids $id; done",Entra ID > Users > Disabled > Assigned roles > Remove,2,Disabled accounts can be re-enabled by an attacker and retain privilege.
cis_1_12,Remove privileged roles from guest users,"# removal","az role assignment delete --assignee <guest-objectid> --role <role> --scope /subscriptions/<sub>",Entra ID > Roles and administrators > Select role > Remove guest members,2,External identities with admin rights expand the trust boundary.
cis_1_13,Create access reviews for each privileged Entra directory role,"resource ""azuread_privileged_access_group_assignment_schedule"" ""admins"" { group_id = var.group_id principal_id = var.principal_id access_id = ""member"" assignment_type = ""assigned"" }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions"" --body @priv-role-review.json",Entra ID > Identity Governance > Privileged Access > Access reviews,3,Stale privileged assignments persist undetected.
cis_1_14,Convert permanent privileged role assignments to PIM eligible,"# PIM eligible assignment\nresource ""azuread_privileged_access_group_eligibility_schedule"" ""ga"" { group_id = var.group_id principal_id = var.principal_id access_id = ""member"" duration = ""P365D"" }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/roleManagement/directory/roleEligibilityScheduleRequests"" --body @eligibility.json",Entra ID > PIM > Azure AD roles > Assignments > Make eligible,4,Standing privilege means compromise equals instant admin.
cis_1_15,Revoke high-risk Graph application permissions from App Registrations,"# removal; using azuread_application_api_access","az ad app permission delete --id <app-id> --api 00000003-0000-0000-c000-000000000000 --api-permissions <perm-id>=Role",Entra ID > App registrations > API permissions > Remove,2,Over-privileged apps enable tenant-wide persistence via OAuth.
cis_2_1,Enable Microsoft Defender for Servers Plan 2 on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""servers"" { tier = ""Standard"" resource_type = ""VirtualMachines"" subplan = ""P2"" }","az security pricing create --name VirtualMachines --tier Standard --subplan P2",Defender for Cloud > Environment settings > Plans > Servers > On,1,VMs lack EDR and vulnerability telemetry.
cis_2_2,Enable Defender for App Service on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""appsvc"" { tier = ""Standard"" resource_type = ""AppServices"" }","az security pricing create --name AppServices --tier Standard",Defender for Cloud > Environment settings > Plans > App Service > On,1,Webshells and compromise of App Service go undetected.
cis_2_3,Enable Defender for SQL (Databases) on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""sql"" { tier = ""Standard"" resource_type = ""SqlServers"" }","az security pricing create --name SqlServers --tier Standard",Defender for Cloud > Environment settings > Plans > Databases > On,1,SQL injection and credential abuse go undetected.
cis_2_4,Enable Defender for Storage on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""storage"" { tier = ""Standard"" resource_type = ""StorageAccounts"" subplan = ""DefenderForStorageV2"" }","az security pricing create --name StorageAccounts --tier Standard --subplan DefenderForStorageV2",Defender for Cloud > Environment settings > Plans > Storage > On,1,Malware upload and anomalous access go undetected.
cis_2_5,Enable Defender for Containers on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""containers"" { tier = ""Standard"" resource_type = ""Containers"" }","az security pricing create --name Containers --tier Standard",Defender for Cloud > Environment settings > Plans > Containers > On,1,AKS runtime compromise and vulnerable images go undetected.
cis_2_6,Enable Defender for Key Vault on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""kv"" { tier = ""Standard"" resource_type = ""KeyVaults"" }","az security pricing create --name KeyVaults --tier Standard",Defender for Cloud > Environment settings > Plans > Key Vault > On,1,Secret enumeration and abnormal access go undetected.
cis_2_7,Enable Defender for DNS on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""dns"" { tier = ""Standard"" resource_type = ""Dns"" }","az security pricing create --name Dns --tier Standard",Defender for Cloud > Environment settings > Plans > DNS > On,1,C2 and exfil via DNS tunneling is not detected.
cis_2_8,Enable Defender for Resource Manager on the subscription,"resource ""azurerm_security_center_subscription_pricing"" ""arm"" { tier = ""Standard"" resource_type = ""Arm"" }","az security pricing create --name Arm --tier Standard",Defender for Cloud > Environment settings > Plans > Resource Manager > On,1,Control-plane attacks on ARM go undetected.
cis_3_1,Require HTTPS-only on all storage accounts,"resource ""azurerm_storage_account"" ""example"" { enable_https_traffic_only = true }","az storage account update --name <name> --resource-group <rg> --https-only true",Storage account > Configuration > Secure transfer required: Enabled,1,Plaintext data and keys can be intercepted on the wire.
cis_3_2,Enable infrastructure encryption on storage accounts (requires recreation),"resource ""azurerm_storage_account"" ""example"" { infrastructure_encryption_enabled = true }","az storage account create --name <name> --resource-group <rg> --require-infrastructure-encryption true --sku Standard_LRS --location <loc>",Create new storage account > Encryption > Enable infrastructure encryption,4,Single-layer encryption leaves exposure if platform key is compromised.
cis_3_3,Disallow public blob access on storage accounts,"resource ""azurerm_storage_account"" ""example"" { allow_nested_items_to_be_public = false }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false",Storage account > Configuration > Allow Blob public access: Disabled,1,Anonymous enumeration and download of blobs becomes trivial.
cis_3_4,Set storage account network default action to Deny,"resource ""azurerm_storage_account"" ""example"" { network_rules { default_action = ""Deny"" bypass = [""AzureServices""] } }","az storage account update --name <name> --resource-group <rg> --default-action Deny --bypass AzureServices",Storage account > Networking > Public network access: Enabled from selected networks,2,Open network ACL permits access from any source IP.
cis_3_5,Create a Private Endpoint for the storage account,"resource ""azurerm_private_endpoint"" ""sa"" { name = ""pe-sa"" location = var.loc resource_group_name = var.rg subnet_id = var.subnet_id private_service_connection { name = ""psc"" private_connection_resource_id = azurerm_storage_account.example.id subresource_names = [""blob""] is_manual_connection = false } }","az network private-endpoint create --name pe-sa --resource-group <rg> --vnet-name <vnet> --subnet <subnet> --private-connection-resource-id <sa-id> --group-id blob --connection-name sa",Storage account > Networking > Private endpoint connections > Create,4,Storage traffic traverses the public internet.
cis_3_6,Enable blob soft delete with 7+ day retention,"resource ""azurerm_storage_account_blob_container_sas"" ""_"" {}\nresource ""azurerm_storage_account"" ""example"" { blob_properties { delete_retention_policy { days = 7 } } }","az storage account blob-service-properties update --account-name <name> --enable-delete-retention true --delete-retention-days 7",Storage account > Data protection > Enable soft delete for blobs (7 days),1,Accidental or malicious blob deletion is unrecoverable.
cis_3_7,Enable container soft delete with 7+ day retention,"resource ""azurerm_storage_account"" ""example"" { blob_properties { container_delete_retention_policy { days = 7 } } }","az storage account blob-service-properties update --account-name <name> --enable-container-delete-retention true --container-delete-retention-days 7",Storage account > Data protection > Enable soft delete for containers (7 days),1,Deleted containers destroy all contained blobs permanently.
cis_3_8,Enable classic diagnostic logging for queue and table services,"# Using azurerm_monitor_diagnostic_setting\nresource ""azurerm_monitor_diagnostic_setting"" ""queue"" { name = ""queuediag"" target_resource_id = ""${azurerm_storage_account.example.id}/queueServices/default"" log_analytics_workspace_id = var.law_id enabled_log { category = ""StorageRead"" } enabled_log { category = ""StorageWrite"" } enabled_log { category = ""StorageDelete"" } }","az monitor diagnostic-settings create --name queuediag --resource <sa-id>/queueServices/default --workspace <law-id> --logs @queue-logs.json",Storage account > Diagnostic settings (classic) > Queue / Table,2,No audit trail on data-plane operations impedes IR.
cis_4_1,Enable extended auditing on Azure SQL servers,"resource ""azurerm_mssql_server_extended_auditing_policy"" ""audit"" { server_id = azurerm_mssql_server.example.id log_monitoring_enabled = true }","az sql server audit-policy update --name <server> --resource-group <rg> --state Enabled --lats Enabled",SQL server > Auditing > Enable > Send to Log Analytics,2,SQL activity forensics is impossible without audit logs.
cis_4_2,Enable Transparent Data Encryption on SQL databases,"resource ""azurerm_mssql_database"" ""db"" { transparent_data_encryption_enabled = true }","az sql db tde set --database <db> --server <server> --resource-group <rg> --status Enabled",SQL database > Transparent data encryption: Enabled,1,Unencrypted storage-layer data at rest.
cis_4_3,Enable SQL threat detection (security alert policy),"resource ""azurerm_mssql_server_security_alert_policy"" ""alert"" { resource_group_name = var.rg server_name = azurerm_mssql_server.example.name state = ""Enabled"" }","az sql server threat-policy update --name <server> --resource-group <rg> --state Enabled",SQL server > Microsoft Defender for SQL > Enable,1,SQL injection and anomalous access go undetected.
cis_4_4,Disable public network access on SQL server,"resource ""azurerm_mssql_server"" ""example"" { public_network_access_enabled = false }","az sql server update --name <server> --resource-group <rg> --set publicNetworkAccess=Disabled",SQL server > Networking > Public network access: Disable,2,SQL server remains exposed to public network scans.
cis_4_5,Enforce SSL on Azure Database for PostgreSQL,"resource ""azurerm_postgresql_server"" ""example"" { ssl_enforcement_enabled = true }","az postgres server update --name <name> --resource-group <rg> --ssl-enforcement Enabled",PostgreSQL server > Connection security > Enforce SSL: Enabled,1,Plaintext credentials and queries on the wire.
cis_4_6,Enforce SSL on Azure Database for MySQL,"resource ""azurerm_mysql_server"" ""example"" { ssl_enforcement_enabled = true }","az mysql server update --name <name> --resource-group <rg> --ssl-enforcement Enabled",MySQL server > Connection security > Enforce SSL: Enabled,1,Plaintext credentials and queries on the wire.
cis_5_1,Create subscription-scope diagnostic setting exporting activity log,"resource ""azurerm_monitor_diagnostic_setting"" ""sub"" { name = ""subdiag"" target_resource_id = ""/subscriptions/${var.sub_id}"" log_analytics_workspace_id = var.law_id enabled_log { category = ""Administrative"" } }","az monitor diagnostic-settings subscription create --name subdiag --location global --workspace <law-id> --logs @subdiag-logs.json",Monitor > Activity log > Export activity logs,2,No centralized activity log audit trail.
cis_5_2,Set activity log retention to at least 365 days,"resource ""azurerm_storage_management_policy"" ""archive"" { storage_account_id = var.archive_sa rule { name = ""retain"" filters { blob_types = [""blockBlob""] } actions { base_blob { delete_after_days_since_modification_greater_than = 365 } } } }","az monitor log-profiles update --name default --retention-policy days=365 enabled=true",Monitor > Diagnostic settings > Retention (days): 365,2,Forensic investigations are blinded beyond the retention window.
cis_5_3,Create activity log alert on policyAssignments write/delete,"resource ""azurerm_monitor_activity_log_alert"" ""policy"" { name = ""policy-change"" resource_group_name = var.rg scopes = [""/subscriptions/${var.sub}""] criteria { category = ""Administrative"" operation_name = ""Microsoft.Authorization/policyAssignments/write"" } action { action_group_id = var.ag_id } }","az monitor activity-log alert create --name policy-change --resource-group <rg> --condition category=Administrative and operationName=Microsoft.Authorization/policyAssignments/write --action-group <ag>",Monitor > Alerts > New rule > Activity log > Create policy assignment,2,Unauthorized policy changes go unnoticed.
cis_5_4,Create activity log alert on NSG write/delete,"resource ""azurerm_monitor_activity_log_alert"" ""nsg"" { name = ""nsg-change"" resource_group_name = var.rg scopes = [""/subscriptions/${var.sub}""] criteria { category = ""Administrative"" operation_name = ""Microsoft.Network/networkSecurityGroups/write"" } action { action_group_id = var.ag_id } }","az monitor activity-log alert create --name nsg-change --resource-group <rg> --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/write --action-group <ag>",Monitor > Alerts > New > Signal: NSG write,2,Lateral movement via NSG change goes unnoticed.
cis_5_5,Create activity log alert on Microsoft.Security/securitySolutions changes,"resource ""azurerm_monitor_activity_log_alert"" ""secsol"" { name = ""secsol-change"" resource_group_name = var.rg scopes = [""/subscriptions/${var.sub}""] criteria { category = ""Administrative"" operation_name = ""Microsoft.Security/securitySolutions/write"" } action { action_group_id = var.ag_id } }","az monitor activity-log alert create --name secsol-change --resource-group <rg> --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/write --action-group <ag>",Monitor > Alerts > New > Signal: securitySolutions,2,Attackers can silently disable Defender components.
cis_5_6,Create activity log alert on SQL firewallRules changes,"resource ""azurerm_monitor_activity_log_alert"" ""sqlfw"" { name = ""sqlfw-change"" resource_group_name = var.rg scopes = [""/subscriptions/${var.sub}""] criteria { category = ""Administrative"" operation_name = ""Microsoft.Sql/servers/firewallRules/write"" } action { action_group_id = var.ag_id } }","az monitor activity-log alert create --name sqlfw-change --resource-group <rg> --condition category=Administrative and operationName=Microsoft.Sql/servers/firewallRules/write --action-group <ag>",Monitor > Alerts > New > Signal: SQL firewallRules,2,SQL firewall exposure to internet can be added without alert.
cis_6_1,Remove NSG rules allowing SSH (22) from Any/Internet,"resource ""azurerm_network_security_rule"" ""ssh"" { name = ""deny-ssh-inbound"" priority = 4000 direction = ""Inbound"" access = ""Deny"" protocol = ""Tcp"" source_port_range = ""*"" destination_port_range = ""22"" source_address_prefix = ""Internet"" destination_address_prefix = ""*"" }","az network nsg rule delete --nsg-name <nsg> --resource-group <rg> --name <bad-rule>",NSG > Inbound rules > Remove/Deny 22 from Any,1,Continuous brute-force on SSH leads to compromise.
cis_6_2,Remove NSG rules allowing RDP (3389) from Any/Internet,"resource ""azurerm_network_security_rule"" ""rdp"" { name = ""deny-rdp-inbound"" priority = 4001 direction = ""Inbound"" access = ""Deny"" protocol = ""Tcp"" source_port_range = ""*"" destination_port_range = ""3389"" source_address_prefix = ""Internet"" destination_address_prefix = ""*"" }","az network nsg rule delete --nsg-name <nsg> --resource-group <rg> --name <bad-rule>",NSG > Inbound rules > Remove/Deny 3389 from Any,1,RDP brute-force is the top ransomware vector.
cis_6_3,Restrict NSG UDP rules to specific sources,"resource ""azurerm_network_security_rule"" ""udp"" { name = ""deny-udp-any"" priority = 4002 direction = ""Inbound"" access = ""Deny"" protocol = ""Udp"" source_port_range = ""*"" destination_port_range = ""*"" source_address_prefix = ""Internet"" destination_address_prefix = ""*"" }","az network nsg rule update --nsg-name <nsg> --resource-group <rg> --name <rule> --source-address-prefixes <cidr>",NSG > Inbound rules > Edit UDP sources,1,UDP services enable amplification and abuse.
cis_6_4,Create Network Watcher in each active region,"resource ""azurerm_network_watcher"" ""nw"" { name = ""nw-${var.region}"" location = var.region resource_group_name = ""NetworkWatcherRG"" }","az network watcher configure --locations <region> --enabled true --resource-group NetworkWatcherRG",Network Watcher > Overview > Enable in region,1,Flow logs and packet capture are unavailable for IR.
cis_6_5,Enable NSG flow logs with retention,"resource ""azurerm_network_watcher_flow_log"" ""fl"" { network_watcher_name = var.nw_name resource_group_name = ""NetworkWatcherRG"" network_security_group_id = var.nsg_id storage_account_id = var.sa_id enabled = true retention_policy { enabled = true days = 90 } }","az network watcher flow-log create --location <region> --resource-group <rg> --nsg <nsg-id> --storage-account <sa-id> --enabled true --retention 90",Network Watcher > NSG flow logs > Create,2,Network activity forensics is impossible without flow logs.
cis_6_6,Remove public IPs from management VMs; use Bastion,"# removal\n# terraform destroy azurerm_public_ip.mgmt","az network nic ip-config update --name <ip-config> --nic-name <nic> --resource-group <rg> --remove PublicIPAddress",VM > Networking > Detach public IP,2,Management plane exposed to internet scanners.
cis_7_1,Deploy Microsoft Antimalware or MDE onboarding extension to VMs,"resource ""azurerm_virtual_machine_extension"" ""antimalware"" { name = ""IaaSAntimalware"" virtual_machine_id = azurerm_linux_virtual_machine.vm.id publisher = ""Microsoft.Azure.Security"" type = ""IaaSAntimalware"" type_handler_version = ""1.5"" }","az vm extension set --name IaaSAntimalware --publisher Microsoft.Azure.Security --vm-name <vm> --resource-group <rg>",Defender for Cloud > Recommendations > Endpoint protection should be installed > Fix,2,VMs lack malware prevention and detection.
cis_7_2,Enable encryption at host on VMs or use Azure Disk Encryption,"resource ""azurerm_linux_virtual_machine"" ""vm"" { encryption_at_host_enabled = true }","az vm update --name <vm> --resource-group <rg> --set securityProfile.encryptionAtHost=true",VM > Disks > Additional settings > Encryption at host: Enabled,3,OS disk plaintext if storage is compromised.
cis_7_3,Encrypt data disks with disk encryption set,"resource ""azurerm_managed_disk"" ""data"" { disk_encryption_set_id = azurerm_disk_encryption_set.des.id storage_account_type = ""Premium_LRS"" create_option = ""Empty"" disk_size_gb = 128 name = ""data1"" location = var.loc resource_group_name = var.rg }","az disk update --name <disk> --resource-group <rg> --disk-encryption-set <des-id>",VM > Disks > Data disks > Encryption type: CMK,3,Data disk contents are not protected by CMK.
cis_7_4,Enable Microsoft Defender Vulnerability Management on VMs,"resource ""azurerm_security_center_server_vulnerability_assessment_virtual_machine"" ""vm"" { virtual_machine_id = azurerm_linux_virtual_machine.vm.id }","az vm extension set --name MDE.Linux --publisher Microsoft.Azure.AzureDefenderForServers --vm-name <vm> --resource-group <rg>",Defender for Cloud > Recommendations > Machines should have vulnerability findings resolved,2,Known CVEs remain unscanned and exploitable.
cis_8_1,Enable soft delete and purge protection on Key Vault,"resource ""azurerm_key_vault"" ""kv"" { soft_delete_retention_days = 90 purge_protection_enabled = true }","az keyvault update --name <kv> --enable-purge-protection true",Key Vault > Properties > Soft delete / Purge protection,1,Keys and secrets can be permanently destroyed by an attacker.
